大分類,題號,正式問題,同義問法,標準回答,轉真人條件,備註
AI 功能與翻譯應用,AI 功能與翻譯應用-07,會議記錄怎麼用？,怎麼記錄會議、開會怎麼記、會議功能在哪,您可以透過 APP 使用會議記錄功能，協助整理會議內容與重點。建議在較安靜、網路穩定的情境下使用，以提升辨識效果。,若使用者找不到功能或無法使用，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
AI 功能與翻譯應用,AI 功能與翻譯應用-08,會議記錄可以轉文字嗎？,能轉逐字嗎、錄音可以變文字嗎、會議能打成字嗎,可以。產品支援錄音轉文字功能，方便整理會議重點、訪談內容或課程筆記。實際準確度會受聲音品質與環境影響。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
AI 功能與翻譯應用,AI 功能與翻譯應用-09,AI 回答會不會不準？,AI 準不準、翻譯一定對嗎、會不會有錯,AI 功能可作為產品使用與資訊理解的輔助工具，但翻譯、辨識與內容整理結果可能受語速、口音、噪音、網路與場景影響，因此建議在重要情境下再次確認。,若涉及正式決策、法律或醫療內容，直接轉真人並提醒自行確認。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
AI 功能與翻譯應用,AI 功能與翻譯應用-10,可以拿來做醫療、法律或正式文件判斷嗎？,翻譯能直接當正式文件嗎、AI 說的能直接用嗎、會議記錄能當正式證明嗎,不建議。AI 問答、翻譯與會議記錄主要作為一般使用參考與效率輔助，不構成醫療、法律意見、保證承諾或正式證明文件。,直接提醒風險，必要時轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
AI 功能與翻譯應用,AI 功能與翻譯應用-11,AI 問答可以問任何事嗎？,什麼都能問嗎、可以亂問嗎、AI 都會答嗎,AI 問答以智慧眼鏡、使用方式、產品資訊、常見問題與聯絡支援為主。若涉及價格、維修判定、法律、醫療或超出知識庫範圍的內容，會建議轉由真人客服協助。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
故障排除與異常處理,故障排除與異常處理-01,連不上時第一步該做什麼？,故障先怎麼看、出問題先做什麼、先怎麼排查,建議先確認電量、藍牙、距離、APP 版本與是否曾連接其他裝置，再重新開啟藍牙、重啟 APP 與眼鏡後重試。,仍失敗，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
故障排除與異常處理,故障排除與異常處理-02,沒有聲音時怎麼排查？,沒聲音怎麼辦、聽不到怎麼處理、為什麼突然沒聲音,請先確認連線狀態、音量設定、音訊輸出裝置是否正確，再重新播放測試。必要時可重新連線或重啟裝置。,無法排除時，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
故障排除與異常處理,故障排除與異常處理-03,翻譯沒反應怎麼辦？,翻譯打不開、翻譯不能用、按了沒反應,請先確認 APP 是否已取得必要權限、網路是否穩定、裝置是否已成功連線，再重新開啟功能測試。,持續異常，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
故障排除與異常處理,故障排除與異常處理-04,會議記錄辨識很差怎麼辦？,逐字稿很亂、辨識不準、記錄很多錯字,辨識效果可能受到噪音、多人同時說話、語速過快、口音與網路狀況影響。建議在較安靜的環境中使用，並盡量讓收音更清楚。,若使用者懷疑功能異常而非場景問題，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
故障排除與異常處理,故障排除與異常處理-05,充電異常怎麼辦？,充不進去、充很慢、插了沒反應,請先檢查充電線、電源與接口是否正常且乾燥。若仍異常，建議停止反覆測試並聯繫客服安排後續協助。,直接轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
故障排除與異常處理,故障排除與異常處理-06,眼鏡異常發熱怎麼辦？,很燙、充電很熱、戴著發熱,若出現異常發熱，建議先停止使用或充電，並聯繫客服確認裝置狀況。,直接轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
故障排除與異常處理,故障排除與異常處理-07,裝置會突然重開或斷掉怎麼辦？,一直重開機、會自己斷線、突然沒反應,可先重新開機並再次配對，確認電量與環境穩定後再測試。若反覆發生，建議由客服協助判斷是否需進一步檢查。,直接轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
故障排除與異常處理,故障排除與異常處理-08,配戴歪掉或鬆動怎麼辦？,歪掉了、鬆鬆的、鏡腿怪怪的,若是配戴角度問題，可先做基本調整；若已明顯鬆動、歪斜或零件異常，建議不要自行硬掰，請聯繫客服或門市協助。,直接轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
故障排除與異常處理,故障排除與異常處理-09,APP 閃退怎麼辦？,APP 一直跳掉、打不開、閃退,建議先重新開啟 APP，確認是否為較新版本，必要時重啟手機後再試。若仍持續發生，請聯繫客服並提供手機型號與系統版本。,轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
故障排除與異常處理,故障排除與異常處理-10,我不知道是不是故障怎麼辦？,感覺怪怪的、這樣正常嗎、是不是壞掉了,若無法確認是否為正常狀況，建議先描述目前情形，例如連線、聲音、充電或配戴異常，再由客服協助判斷是否需要後續處理。,直接導流真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
保固、售後與維修,保固、售後與維修-01,保固多久？,保固幾年、保固多長、保固時間多久,目前保固基本為一年。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
保固、售後與維修,保固、售後與維修-02,什麼情況可以免費更換？,哪些算保固、怎樣可以換新、怎樣免費處理,在保固期間內，若屬非人為損壞，原則上可提供免費更換。實際仍需由客服或售後協助確認狀況。,需人工判定。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
保固、售後與維修,保固、售後與維修-03,人為損壞有保固嗎？,摔到算嗎、泡水算嗎、自己弄壞有保嗎,若屬人為損壞，通常不在免費更換範圍內，仍需由客服確認後續處理方式。,直接轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
保固、售後與維修,保固、售後與維修-04,保固從什麼時候開始算？,什麼時候起算、購買日算嗎、領貨日算嗎,保固起算方式通常會依實際購買或出貨紀錄判定，建議您備妥相關資訊後由客服協助確認。,直接轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
保固、售後與維修,保固、售後與維修-05,壞掉了怎麼申請保固？,要怎麼送修、保固怎麼走、要找誰處理,若裝置異常或疑似需保固處理，請先透過 LINE、電話或客服窗口聯繫，說明問題狀況後由專人協助後續流程。,直接轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
保固、售後與維修,保固、售後與維修-06,需要提供什麼資料？,送修要準備什麼、要給什麼資訊、要附什麼,建議先準備聯絡資訊、購買相關資訊、型號與異常狀況描述，方便客服協助判斷。,若使用者立即要送修，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
保固、售後與維修,保固、售後與維修-07,維修要多久？,送修多久、處理時間多久、會等很久嗎,實際維修或更換時間會依問題狀況、檢測結果與處理流程而定，建議由客服依個案協助說明。,直接轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
保固、售後與維修,保固、售後與維修-08,可以直接換新嗎？,能不能直接換、壞了就換嗎、免費換新嗎,若在保固期間且確認為非人為損壞，原則上可提供免費更換；實際仍需由客服確認故障狀況與處理方式。,直接轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
保固、售後與維修,保固、售後與維修-09,配件壞掉也算保固嗎？,鏡腿壞掉算嗎、充電配件呢、附件有保嗎,是否適用保固與免費更換，仍需依實際損壞部位與原因判定，建議先由客服確認。,直接轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
保固、售後與維修,保固、售後與維修-10,門市可以直接處理維修嗎？,可以拿去店裡嗎、門市能收嗎、現場能處理嗎,是否可由門市直接協助，需依目前服務安排為準，建議先聯繫客服或預約了解後再確認。,直接轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
預約了解、聯絡客服與門市資訊,預約了解、聯絡客服與門市資訊-01,怎麼聯絡客服？,客服怎麼找、怎麼問、怎麼聯絡你們,您可以透過客服電話、LINE 或客服信箱聯繫。客服電話為 0966027516，LINE ID 為 yellow88cc，客服信箱為 tongshun634@gmail.com。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
預約了解、聯絡客服與門市資訊,預約了解、聯絡客服與門市資訊-02,客服時間是幾點？,幾點有人、客服幾點上班、什麼時候可以問,客服時間為每日 10:00 - 18:00。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
預約了解、聯絡客服與門市資訊,預約了解、聯絡客服與門市資訊-03,有 LINE 可以加嗎？,LINE 是什麼、有官方 LINE 嗎、可以用 LINE 問嗎,可以。您可透過 LINE ID：yellow88cc 聯繫客服。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
預約了解、聯絡客服與門市資訊,預約了解、聯絡客服與門市資訊-04,可以打電話嗎？,有電話嗎、直接打可以嗎、客服電話多少,可以，客服電話為 0966027516。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
預約了解、聯絡客服與門市資訊,預約了解、聯絡客服與門市資訊-05,怎麼預約了解？,怎麼預約、可以預約嗎、要怎麼安排,您可透過 APP 內的預約了解功能填寫資料，或直接透過 LINE、電話聯繫，由專人協助安排。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
預約了解、聯絡客服與門市資訊,預約了解、聯絡客服與門市資訊-06,預約送出後就算成立嗎？,填完就好了嗎、是不是直接成功、送出就有嗎,您送出預約資料後，仍以客服後續實際聯繫與確認結果為準，並不代表預約已自動成立。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
預約了解、聯絡客服與門市資訊,預約了解、聯絡客服與門市資訊-07,預約要填什麼？,預約會問什麼、要留哪些資料、預約欄位有哪些,目前預約欄位包含姓名、手機號碼、LINE 聯絡方式、想了解的產品型號、預約門市、預約日期、預約時段與備註需求。,若使用者對個資填寫有疑慮，可引導看隱私權政策。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
預約了解、聯絡客服與門市資訊,預約了解、聯絡客服與門市資訊-08,有門市地址嗎？,門市在哪、店在哪裡、可以去現場嗎,目前可先使用的門市地址為 433 台中市沙鹿區興仁里四平街 35 號。若要安排現場了解，建議先聯繫客服確認。,若使用者要確認營業安排或現場接待，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
預約了解、聯絡客服與門市資訊,預約了解、聯絡客服與門市資訊-09,可以直接去門市嗎？,不用預約可以嗎、直接去現場行嗎、會有人嗎,為避免白跑一趟，建議先透過 LINE、電話或預約功能與客服確認，再安排到店了解。,直接轉真人較穩。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
預約了解、聯絡客服與門市資訊,預約了解、聯絡客服與門市資訊-10,客服沒回我怎麼辦？,都沒人回、LINE 沒回、電話沒接怎麼辦,若客服尚未回覆，建議您可改用其他聯絡方式再次聯繫，例如 LINE、電話或信箱，同時留下您的姓名與需求，方便後續追蹤。,若使用者情緒明顯或反映案件延遲，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
